id_mesa,id_establecimiento,id_centro_de_distribucion,descripcion,ciudadanos_habilitados,extranjera
2773,5063,11,2773,344,NO
2774,5063,11,2774,344,NO
2775,9224,11,2775,344,NO
2776,9224,11,2776,344,NO
2777,9224,11,2777,344,NO
2778,9224,11,2778,344,NO
2779,9224,11,2779,344,NO
2780,4226,11,2780,348,NO
2781,4226,11,2781,348,NO
2782,4226,11,2782,348,NO
2783,4226,11,2783,348,NO
2784,4226,11,2784,348,NO
2785,4226,11,2785,348,NO
2786,4226,11,2786,348,NO
2787,4226,11,2787,348,NO
2788,4226,11,2788,348,NO
2789,4226,11,2789,348,NO
2790,4226,11,2790,348,NO
2791,4226,11,2791,348,NO
2792,4226,11,2792,348,NO
2793,4226,11,2793,348,NO
2794,4226,11,2794,348,NO
2795,5066,11,2795,348,NO
2796,5066,11,2796,348,NO
2797,5066,11,2797,348,NO
2798,5066,11,2798,348,NO
2799,5066,11,2799,348,NO
2800,5066,11,2800,348,NO
2801,5066,11,2801,348,NO
2802,5066,11,2802,348,NO
2803,5066,11,2803,348,NO
2804,5066,11,2804,348,NO
2805,5066,11,2805,348,NO
2806,5066,11,2806,348,NO
2807,5066,11,2807,348,NO
2808,5066,11,2808,348,NO
2809,5067,11,2809,348,NO
2810,5067,11,2810,348,NO
2811,5067,11,2811,348,NO
2812,5067,11,2812,348,NO
2813,5067,11,2813,348,NO
2814,5067,11,2814,348,NO
2815,5067,11,2815,348,NO
2816,5067,11,2816,348,NO
2817,5067,11,2817,348,NO
2818,4168,11,2818,348,NO
2819,4168,11,2819,348,NO
2820,4168,11,2820,348,NO
2821,4168,11,2821,348,NO
2822,4168,11,2822,348,NO
2823,4168,11,2823,348,NO
2824,8492,11,2824,348,NO
2825,8492,11,2825,348,NO
2826,8492,11,2826,348,NO
2827,8492,11,2827,347,NO
2828,8492,11,2828,347,NO
2829,8492,11,2829,347,NO
2830,8492,11,2830,347,NO
2831,8492,11,2831,347,NO
2832,8492,11,2832,347,NO
2833,8492,11,2833,347,NO
2834,8492,11,2834,347,NO
2835,8492,11,2835,347,NO
2836,8492,11,2836,347,NO
2837,8492,11,2837,347,NO
2838,8492,11,2838,347,NO
2839,8492,11,2839,347,NO
2840,8492,11,2840,347,NO
2841,4225,11,2841,347,NO
2842,4225,11,2842,347,NO
2843,4225,11,2843,347,NO
2844,4225,11,2844,347,NO
2845,4225,11,2845,347,NO
2846,4225,11,2846,347,NO
2847,4225,11,2847,347,NO
2848,5069,14,2848,350,NO
2849,5069,14,2849,350,NO
2850,5069,14,2850,350,NO
2851,5069,14,2851,350,NO
2852,5069,14,2852,350,NO
2853,5069,14,2853,350,NO
2854,5069,14,2854,350,NO
2855,5069,14,2855,350,NO
2856,5069,14,2856,350,NO
2857,5069,14,2857,350,NO
2858,5069,14,2858,350,NO
2859,5069,14,2859,350,NO
2860,5068,14,2860,350,NO
2861,5068,14,2861,349,NO
2862,5068,14,2862,349,NO
2863,5068,14,2863,349,NO
2864,5068,14,2864,349,NO
2865,5068,14,2865,349,NO
2866,5068,14,2866,349,NO
2867,5068,14,2867,349,NO
2868,4719,14,2868,349,NO
2869,4719,14,2869,349,NO
2870,4719,14,2870,349,NO
2871,4719,14,2871,349,NO
2872,4719,14,2872,349,NO
2873,4719,14,2873,349,NO
2874,4719,14,2874,349,NO
2875,4719,14,2875,349,NO
2876,4719,14,2876,349,NO
2877,6589,14,2877,347,NO
2878,6589,14,2878,346,NO
2879,6589,14,2879,346,NO
2880,6589,14,2880,346,NO
2881,6589,14,2881,346,NO
2882,6589,14,2882,346,NO
2883,8861,14,2883,346,NO
2884,8861,14,2884,346,NO
2885,8861,14,2885,346,NO
2886,8861,14,2886,346,NO
2887,8861,14,2887,346,NO
2888,8861,14,2888,346,NO
2889,8861,14,2889,346,NO
2890,8861,14,2890,346,NO
2891,8861,14,2891,346,NO
2892,8861,14,2892,346,NO
2893,8861,14,2893,346,NO
2894,8861,14,2894,346,NO
2895,4157,14,2895,346,NO
2896,4157,14,2896,346,NO
2897,4157,14,2897,346,NO
2898,4157,14,2898,346,NO
2899,4157,14,2899,346,NO
2900,4156,14,2900,346,NO
2901,4156,14,2901,346,NO
2902,4156,14,2902,346,NO
2903,4156,14,2903,346,NO
2904,4156,14,2904,346,NO
2905,4156,14,2905,346,NO
2906,4156,14,2906,346,NO
2907,4156,14,2907,346,NO
2908,4156,14,2908,346,NO
2909,4156,14,2909,346,NO
2910,4156,14,2910,346,NO
2911,4156,14,2911,346,NO
2912,4156,14,2912,346,NO
2913,4156,14,2913,346,NO
2914,4156,14,2914,346,NO
